fingerprint,id,nearest_id,distance,same_category
network,CLA07,JAZ01,5.86854139491673,False
network,CLA08,ACO03,10.054081862717874,False
network,CLA09,ACO09,5.786146885768265,False
network,CLA10,SYN04,6.683846489742349,False
network,FNK01,JAZ10,5.356240869290269,False
network,FNK02,HOU02,5.784494618468518,False
network,FNK03,FNK06,5.887309239797456,True
network,FNK04,FNK09,5.935173468993107,True
network,FNK05,SYN10,5.492166500740089,False
network,FNK06,FNK10,4.297175018918101,True
network,FNK07,CHP06,6.025221767982272,False
network,FNK08,JAZ08,6.086368005557913,False
network,FNK09,FNK04,5.935173468993107,True
network,FNK10,CLA02,3.851715584611873,False
network,HOU01,JAZ02,6.318401706239176,False
network,HOU02,FNK02,5.784494618468518,False
network,HOU03,AMB02,6.251069144410765,False
network,HOU04,FNK10,5.079535487079812,False
network,HOU05,JAZ03,5.885552370510009,False
network,HOU06,FNK06,5.3130554722812375,False
network,HOU07,SYN10,5.991281119821812,False
network,HOU08,ACO04,6.922361237203902,False
network,HOU09,CHP08,5.623775963791753,False
network,HOU10,AMB04,5.81291992549631,False
network,JAZ01,CLA07,5.86854139491673,False
network,JAZ02,CHP05,4.7547933037364984,False
network,JAZ03,ACO09,5.820068230380494,False
network,JAZ04,FNK08,6.944516900896596,False
network,JAZ05,JAZ10,4.791307186614738,True
network,JAZ06,JAZ09,6.487867204480629,True
network,JAZ07,JAZ08,6.898784021887727,True
network,JAZ08,CLA03,6.017317409122403,False
network,JAZ09,JAZ06,6.487867204480629,True
network,JAZ10,JAZ05,4.791307186614738,True
network,SYN01,SYN02,9.81705888456515,True
network,SYN02,CLA04,8.069133215841934,False
network,SYN03,ACO09,7.206085325215701,False
network,SYN04,CHP06,5.729962737791307,False
network,SYN05,FNK06,6.963054056596012,False
network,SYN06,CLA06,5.630391483112582,False
network,SYN07,CHP10,6.618239975151488,False
network,SYN08,JAZ10,5.470087831110586,False
network,SYN09,AMB05,5.80166671230758,False
network,SYN10,FNK05,5.492166500740089,False
