id,control,rep,metric,original,control_value,delta
ACO01,shuffle,0,self_retention,0.9720273649117916,0.9471628003889414,0.02486456452285024
ACO01,shuffle,0,transition_entropy_norm,0.03882267655742286,0.055258963714044304,-0.016436287156621446
ACO01,shuffle,0,metastability_slem,0.6204010466738864,0.027156549520766772,0.5932444971531197
ACO01,shuffle,0,triplet_irreversibility,0.0,0.0,0.0
ACO01,shuffle,0,permutation_entropy,0.9145214786477881,0.9775842702443466,-0.06306279159655848
ACO01,shuffle,0,statistical_complexity,0.14275348349856445,0.04126685417393953,0.10148662932462493
ACO01,shuffle,0,hurst_pc1,0.8605693581521501,0.6358677586622462,0.22470159948990387
ACO01,shuffle,0,time_asymmetry_tau1,0.048139797738487346,0.020620659876402846,0.0275191378620845
ACO01,shuffle,0,time_asymmetry_tau5,0.13579629225996354,-0.03832312383514568,0.17411941609510923
ACO01,shuffle,0,rqa_determinism,0.5442176870748299,0.318758344459279,0.2254593426155509
ACO01,shuffle,0,rqa_laminarity,0.683673469387755,0.43941922563417884,0.24425424375357613
ACO01,shuffle,0,rqa_mean_diag,2.4918032786885247,2.2313084112149535,0.2604948674735712
ACO01,block_shuffle,0,self_retention,0.9720273649117916,0.9642857142857126,0.007741650626079011
ACO01,block_shuffle,0,transition_entropy_norm,0.03882267655742286,0.04331546068409113,-0.004492784126668273
ACO01,block_shuffle,0,metastability_slem,0.6204010466738864,0.49701422633064013,0.12338682034324627
ACO01,block_shuffle,0,triplet_irreversibility,0.0,0.00035134344109412965,-0.00035134344109412965
ACO01,block_shuffle,0,permutation_entropy,0.9145214786477881,0.90271111149255,0.011810367155238088
ACO01,block_shuffle,0,statistical_complexity,0.14275348349856445,0.16233770806103281,-0.01958422456246836
ACO01,block_shuffle,0,hurst_pc1,0.8605693581521501,0.8586253510753278,0.0019440070768222961
ACO01,block_shuffle,0,time_asymmetry_tau1,0.048139797738487346,0.02684781708643462,0.021291980652052726
ACO01,block_shuffle,0,time_asymmetry_tau5,0.13579629225996354,0.006542685855509015,0.12925360640445452
ACO01,block_shuffle,0,rqa_determinism,0.5442176870748299,0.4214638157894736,0.12275387128535625
ACO01,block_shuffle,0,rqa_laminarity,0.683673469387755,0.5949835526315789,0.0886899167561761
ACO01,block_shuffle,0,rqa_mean_diag,2.4918032786885247,2.2879464285714284,0.2038568501170963
ACO01,shuffle,1,self_retention,0.9720273649117916,0.9472049689440979,0.024822395967693756
ACO01,shuffle,1,transition_entropy_norm,0.03882267655742286,0.05518623834325564,-0.01636356178583278
ACO01,shuffle,1,metastability_slem,0.6204010466738864,0.02711323763955344,0.593287809034333
ACO01,shuffle,1,triplet_irreversibility,0.0,0.00016106393732108566,-0.00016106393732108566
ACO01,shuffle,1,permutation_entropy,0.9145214786477881,0.9758816052731307,-0.061360126625342626
ACO01,shuffle,1,statistical_complexity,0.14275348349856445,0.044247658109709764,0.09850582538885469
ACO01,shuffle,1,hurst_pc1,0.8605693581521501,0.5886968288473328,0.2718725293048173
ACO01,shuffle,1,time_asymmetry_tau1,0.048139797738487346,0.025561272482430085,0.02257852525605726
ACO01,shuffle,1,time_asymmetry_tau5,0.13579629225996354,-0.0707852865591606,0.20658157881912415
ACO01,shuffle,1,rqa_determinism,0.5442176870748299,0.33702956989247307,0.2071881171823568
ACO01,shuffle,1,rqa_laminarity,0.683673469387755,0.4124663978494623,0.27120707153829265
ACO01,shuffle,1,rqa_mean_diag,2.4918032786885247,2.2141280353200883,0.2776752433684364
ACO01,block_shuffle,1,self_retention,0.9720273649117916,0.9642584287500233,0.007768936161768325
ACO01,block_shuffle,1,transition_entropy_norm,0.03882267655742286,0.04462725137212842,-0.00580457481470556
ACO01,block_shuffle,1,metastability_slem,0.6204010466738864,0.49708158015666504,0.12331946651722137
ACO01,block_shuffle,1,triplet_irreversibility,0.0,0.003466608235713413,-0.003466608235713413
ACO01,block_shuffle,1,permutation_entropy,0.9145214786477881,0.9074776713750552,0.007043807272732905
ACO01,block_shuffle,1,statistical_complexity,0.14275348349856445,0.1555637458052645,-0.012810262306700043
ACO01,block_shuffle,1,hurst_pc1,0.8605693581521501,0.8363068775988199,0.024262480553330135
ACO01,block_shuffle,1,time_asymmetry_tau1,0.048139797738487346,0.08635802657323982,-0.038218228834752475
ACO01,block_shuffle,1,time_asymmetry_tau5,0.13579629225996354,0.2220198389178995,-0.08622354665793597
ACO01,block_shuffle,1,rqa_determinism,0.5442176870748299,0.44757563199336914,0.09664205508146073
ACO01,block_shuffle,1,rqa_laminarity,0.683673469387755,0.6015333609614586,0.08214010842629638
ACO01,block_shuffle,1,rqa_mean_diag,2.4918032786885247,2.42152466367713,0.07027861501139476
ACO01,shuffle,2,self_retention,0.9720273649117916,0.9471628003889414,0.02486456452285024
ACO01,shuffle,2,transition_entropy_norm,0.03882267655742286,0.055258963714044304,-0.016436287156621446
ACO01,shuffle,2,metastability_slem,0.6204010466738864,0.027156549520766772,0.5932444971531197
ACO01,shuffle,2,triplet_irreversibility,0.0,0.00016106393732108392,-0.00016106393732108392
ACO01,shuffle,2,permutation_entropy,0.9145214786477881,0.9783160477006888,-0.06379456905290071
ACO01,shuffle,2,statistical_complexity,0.14275348349856445,0.040228852414910504,0.10252463108365395
ACO01,shuffle,2,hurst_pc1,0.8605693581521501,0.6330993432347956,0.22747001491735452
ACO01,shuffle,2,time_asymmetry_tau1,0.048139797738487346,0.08123541349387564,-0.033095615755388295
ACO01,shuffle,2,time_asymmetry_tau5,0.13579629225996354,-0.09938083968125622,0.23517713194121975
ACO01,shuffle,2,rqa_determinism,0.5442176870748299,0.29971762807583696,0.2445000589989929
ACO01,shuffle,2,rqa_laminarity,0.683673469387755,0.41589350544574416,0.2677799639420108
ACO01,shuffle,2,rqa_mean_diag,2.4918032786885247,2.2245508982035926,0.26725238048493205
ACO01,block_shuffle,2,self_retention,0.9720273649117916,0.9658112237810792,0.006216141130712449
ACO01,block_shuffle,2,transition_entropy_norm,0.03882267655742286,0.04350901203935037,-0.004686335481927512
ACO01,block_shuffle,2,metastability_slem,0.6204010466738864,0.5000000000000001,0.12040104667388629
ACO01,block_shuffle,2,triplet_irreversibility,0.0,0.0,0.0
ACO01,block_shuffle,2,permutation_entropy,0.9145214786477881,0.9111195003812098,0.003401978266578287
ACO01,block_shuffle,2,statistical_complexity,0.14275348349856445,0.1497054083798478,-0.00695192488128335
ACO01,block_shuffle,2,hurst_pc1,0.8605693581521501,0.8731366553394069,-0.012567297187256798
ACO01,block_shuffle,2,time_asymmetry_tau1,0.048139797738487346,0.054015612890083775,-0.005875815151596429
ACO01,block_shuffle,2,time_asymmetry_tau5,0.13579629225996354,0.11621778703127052,0.01957850522869302
ACO01,block_shuffle,2,rqa_determinism,0.5442176870748299,0.46972231515557034,0.07449537191925953
ACO01,block_shuffle,2,rqa_laminarity,0.683673469387755,0.6438608230177316,0.03981264637002335
ACO01,block_shuffle,2,rqa_mean_diag,2.4918032786885247,2.458844133099825,0.03295914558869972
ACO01,shuffle,3,self_retention,0.9720273649117916,0.9471628003889414,0.02486456452285024
ACO01,shuffle,3,transition_entropy_norm,0.03882267655742286,0.055258963714044304,-0.016436287156621446
ACO01,shuffle,3,metastability_slem,0.6204010466738864,0.027156549520766772,0.5932444971531197
ACO01,shuffle,3,triplet_irreversibility,0.0,0.0,0.0
ACO01,shuffle,3,permutation_entropy,0.9145214786477881,0.9802049566841717,-0.06568347803638364
ACO01,shuffle,3,statistical_complexity,0.14275348349856445,0.03513956645939672,0.10761391703916773
ACO01,shuffle,3,hurst_pc1,0.8605693581521501,0.5810709147299997,0.27949844342215036
ACO01,shuffle,3,time_asymmetry_tau1,0.048139797738487346,-0.181534916000489,0.22967471373897633
ACO01,shuffle,3,time_asymmetry_tau5,0.13579629225996354,0.007017680522330559,0.12877861173763297
ACO01,shuffle,3,rqa_determinism,0.5442176870748299,0.31947703654039555,0.22474065053443432
ACO01,shuffle,3,rqa_laminarity,0.683673469387755,0.4239021119678176,0.2597713574199374
ACO01,shuffle,3,rqa_mean_diag,2.4918032786885247,2.1609977324263037,0.33080554626222103
ACO01,block_shuffle,3,self_retention,0.9720273649117916,0.9627031532157229,0.009324211696068785
ACO01,block_shuffle,3,transition_entropy_norm,0.03882267655742286,0.0461266873542716,-0.0073040107968487394
ACO01,block_shuffle,3,metastability_slem,0.6204010466738864,0.49704591078152494,0.12335513589236147
ACO01,block_shuffle,3,triplet_irreversibility,0.0,0.0,0.0
ACO01,block_shuffle,3,permutation_entropy,0.9145214786477881,0.9092908916009896,0.005230587046798463
ACO01,block_shuffle,3,statistical_complexity,0.14275348349856445,0.14800521079361045,-0.005251727295045999
ACO01,block_shuffle,3,hurst_pc1,0.8605693581521501,0.8468012033083588,0.013768154843791236
ACO01,block_shuffle,3,time_asymmetry_tau1,0.048139797738487346,0.05817696086800712,-0.010037163129519772
ACO01,block_shuffle,3,time_asymmetry_tau5,0.13579629225996354,0.18319909551143806,-0.04740280325147453
