id,ACO01,ACO02,ACO03,ACO04,ACO05,ACO06,ACO07,ACO08,ACO09,ACO10,AMB01,AMB02,AMB03,AMB04,AMB05,AMB06,AMB07,AMB08,AMB09,AMB10,CHP01,CHP02,CHP03,CHP04,CHP05,CHP06,CHP07,CHP08,CHP09,CHP10,CLA01,CLA02,CLA03,CLA04,CLA05,CLA06,CLA07,CLA08,CLA09,CLA10,FNK01,FNK02,FNK03,FNK04,FNK05,FNK06,FNK07,FNK08,FNK09,FNK10,HOU01,HOU02,HOU03,HOU04,HOU05,HOU06,HOU07,HOU08,HOU09,HOU10,JAZ01,JAZ02,JAZ03,JAZ04,JAZ05,JAZ06,JAZ07,JAZ08,JAZ09,JAZ10,SYN01,SYN02,SYN03,SYN04,SYN05,SYN06,SYN07,SYN08,SYN09,SYN10
ACO01,0.0,8.343600281679253,7.259982478033734,8.840885645478275,8.79570452372182,4.817617085710106,6.854000218656247,7.217373625437943,8.002427756386568,7.859339487445125,6.277435525611274,5.3218465422232875,7.961574749669972,6.074891701247648,4.613790862287173,6.151712323944678,8.95960746313849,6.307699680953919,11.497456282284752,6.607425542999971,7.936929348680015,9.72518509618781,9.30355119187359,7.760864848182583,7.530738958170405,13.787469603294486,8.760622190328732,7.632674419344018,8.372102244755828,8.011591024002449,7.296286538572029,6.4959677976639725,5.429020228813545,5.1508852544456,6.947682638537452,6.757525939339633,7.417247468804352,5.26169110123971,7.365331294443546,12.645102437172644,7.020833248066581,9.39563651807801,9.436110871186164,11.323317689285693,7.018157577841537,9.230141109043823,14.082280668455992,7.920170703415446,10.052944262236613,7.214843430167396,10.371830688669286,10.48899379783497,6.849320069208961,7.318235379791218,8.798070969930604,10.668628717409627,9.610146530016399,9.84291820601212,6.662199931185334,7.05024121674206,6.3666542862219675,8.572482010095204,9.294710399092812,5.485081693113553,9.908448514282394,11.499392769246413,7.406219412998014,7.407206157429952,9.47808798560839,8.309299006663782,9.932801432418623,7.701278251794157,7.895177151923127,11.926947648029351,11.046226006307206,7.389760759005886,6.5732375093098145,8.25697833710865,4.37048307752018,9.966127271789643
ACO02,8.343600281679253,0.0,8.9280409089472,4.956007470479397,4.05433237932994,6.509401637575843,5.5041189220847135,7.473390220061496,4.59092836327324,5.755355081134485,8.087963066811998,5.554917854274878,7.453502296985265,5.372418005967499,8.64824758192037,4.901135655047659,6.550446363419971,6.0367049927425676,11.674056110435863,6.512360077313809,8.780458352809392,6.152872216373229,6.581099130491284,5.895124870832556,3.8143653879753607,7.9426315168850845,5.063184856246706,5.208068747490777,7.477469254114112,5.404157622332889,6.223911839376441,4.016361793111142,4.847349506717437,6.37972354681703,3.998507048992667,4.808507576079737,5.517516699693478,8.258573608297556,5.111585768782409,8.51733450870744,4.895584801470827,4.206107131651606,5.0251860612096015,8.602222746728284,3.7005566705271105,3.3118418003975676,9.79732975949308,5.320341359480334,6.848489277206265,3.155216478095932,4.981179298674788,5.910188553933946,6.443873339722153,3.8907956699665225,5.5733152504402765,4.456615616626817,5.35125230877344,7.170918662820183,5.358667901647252,5.448065926108398,4.1160707533211465,3.6259342597112565,5.423460001345678,5.311179924313954,4.952078800811027,7.7126684590596035,4.913115824099056,3.969481447654622,6.082897865826494,5.025110013378623,13.096592843868802,10.747988092049045,6.064536727866448,6.825811930687049,6.369476043022206,5.1721915590620196,6.0166826234281965,4.497933542392197,9.214821287855479,4.872384795605935
ACO03,7.259982478033734,8.9280409089472,0.0,10.560267713878316,8.718800690836787,8.201008257330349,8.88010164942399,9.157662428070942,7.420156760975164,7.499378648365857,8.828744433651723,6.554988299733836,5.585128208396414,7.151846665858369,9.383937286544986,6.774401358317979,11.43753003480831,7.60447918239659,14.064145151341927,5.554680096503375,12.187661814793309,10.509872283004054,7.479447352092342,7.565189233302431,8.839132196644034,13.065766945092303,9.297336855522413,6.774507410257755,10.771182441953492,7.259461839756545,6.351219585984719,9.201485334607659,7.316756517154804,8.895650556012926,9.390696640431763,7.632354274485359,10.5627160716282,3.9368158848906525,6.556946055844793,13.124319507124692,9.170446365287344,8.574303813822388,9.082437921342729,12.89082467759879,8.750599764630788,9.343740607610464,13.912190898603745,8.059037771963887,11.020520116914305,8.879365470756287,8.60902703447085,9.922060487718195,8.123474200648376,8.550409186551,7.479431163557246,11.454960140591766,11.314176566469156,12.37515710001211,6.3584214317034595,7.448806827196627,8.446532110318861,9.634717838566786,8.677210975618497,8.107667637414426,9.150783010502934,10.901517260037357,8.564049993743296,7.74211441492202,10.088753429734327,8.977338994957298,14.087813178451825,12.743271261946397,7.544885123862818,11.73212446795047,10.837983690562364,6.599596270602094,6.740806576111642,7.688287555641813,9.372713478740037,9.59475420896023
ACO04,8.840885645478275,4.956007470479397,10.560267713878316,0.0,7.130474180178532,7.1530189800228205,3.849572173856734,7.662715954486644,6.784086910587926,7.797518848294585,8.077939133323321,7.475760247985792,9.556850198859685,7.238456213843916,9.12267063975858,6.353566500632618,4.911395822324361,6.430717870394439,8.723170279584577,8.931465393556097,7.577548204809358,7.023007775718204,7.287120176288186,7.961830570296501,4.241068426734721,7.6566868950534435,6.755813383824522,7.550374956821227,7.025810237010515,7.099246366253447,7.956298331221565,5.080713571992791,5.857042763255145,6.455814342007023,5.6097710630461215,6.117755417287369,4.956026498507119,9.795831951486367,7.638703545865657,7.430352838729381,4.841606119493351,6.70828206241912,6.73644587138822,6.982926076710818,4.468833652164645,4.087142879842486,8.038842112789188,5.450553603389054,5.782180810508523,3.890515121154069,7.12861461328608,6.68237906777903,6.485488862436602,4.476041153403274,7.53034538036667,4.820163172637139,4.4988871243481645,5.2059743901146955,6.535663575875445,7.458530462122652,5.3138083227787885,4.644313427266163,6.26099235078933,6.197643517396768,5.797935488872066,7.913621653489113,6.955544526905364,5.555304866709582,6.210303552772518,5.49098980481416,10.882857882141732,8.610084740707968,8.041298654824288,6.0321996065773,6.01848317972169,7.413600445886162,7.749249934777222,5.609782708646528,9.459903331789741,5.763045844818536
ACO05,8.79570452372182,4.05433237932994,8.718800690836787,7.130474180178532,0.0,7.696930855067699,6.585959838104351,8.325855904396331,5.4170579027251256,5.231458804882465,8.596074245846925,6.6730454982011445,6.750134113433213,5.871092309107626,9.163936031788035,5.877911769255135,8.555462672081793,7.650886294861995,12.711820227880404,6.7847580849552855,9.372492088648185,8.085741025859681,5.984020142479379,6.03584963653411,6.231891393719306,8.512370285923723,4.435113576786416,5.337082888847937,9.530153511510187,6.134827080150604,7.126293850608187,6.003857140600716,6.315560044706743,7.566397501730907,4.790959558657265,6.28544279288241,7.897484128559084,8.256286370645865,5.839193126597403,9.689556419399961,6.218672870122475,3.946786159274817,6.497848357887927,9.670455574210711,4.752051379816532,4.971770897117819,10.791796536660664,6.453767139470252,8.09126707044904,5.277903315771386,5.834092064968183,5.818376898217353,8.357303155296512,6.065436737475543,4.774941488914417,6.0149041117789235,6.021157579656707,8.656616186622175,5.593280806394521,4.8326530993816705,5.75902145857127,5.57487703427781,5.093660812009628,7.07374144932002,5.9644501735604605,8.237628953674466,5.424813922511021,5.462602815997878,7.439693265407334,6.511784412161082,14.03588604891698,11.76115288239348,5.2861791225037225,7.015205502022316,7.891034841986385,5.454140335021134,6.7927500816564805,5.21867032528848,9.242329712455652,4.406762374080369
ACO06,4.817617085710106,6.509401637575843,8.201008257330349,7.1530189800228205,7.696930855067699,0.0,6.169545290477557,6.766838504581079,7.172202726811383,6.014105687809919,6.255309041996614,4.603861026572851,7.586364194568744,5.028473529897426,5.755175124593728,5.635600326808134,6.993810994194028,4.299361222789957,11.46766245338897,7.137232279120415,8.252208007147159,7.934711446228752,8.678467730474647,7.199357947367388,5.868996696289835,11.678999679492405,7.822483767804545,7.251132413990368,7.299039409715868,6.92819504195824,6.3640594948740565,4.206252062157918,3.92863196855878,4.002735029551117,5.335545336371184,5.982713630143299,5.612775690778244,7.184317302878732,7.015716827029665,10.529648605236801,5.834133669723029,8.488201261261109,7.97476564847483,9.654910143942766,6.101098992050415,7.202737082990446,11.814918820417226,6.104023410725525,8.16861759421951,4.832018404711526,9.25878169365014,9.30783627261757,5.42015341991801,5.512915301016717,7.882269034833397,9.141491522587277,8.28337377497975,8.303137858697704,5.861145551384497,6.330318146090879,4.8487117577183865,7.324481037351112,7.450246555108007,3.3517306897381505,8.060297395413457,9.843966301901826,5.589397637555671,4.76655003225915,7.987498707856832,6.793310783029046,9.810170125013153,7.890838292304756,6.684677908146468,10.318700927140224,8.98862734085883,6.153409523942079,5.704389651834594,6.849484705464465,5.968279066912828,8.42893577794276
ACO07,6.854000218656247,5.5041189220847135,8.88010164942399,3.849572173856734,6.585959838104351,6.169545290477557,0.0,5.680181482722487,5.843412086116117,6.407183161095102,7.447354525372446,6.422960552486412,7.842007882205317,6.453908019700067,7.919016219594819,5.5957076003105914,5.395243161185133,6.316920498755646,8.011415843187322,8.052605981254782,6.434411096039308,7.579458485523167,6.715882160529728,7.4379692864484115,4.749511293754373,9.658678752868532,5.99785288599935,6.610888194152404,6.766854851990848,6.6013056188683565,7.0707329479837835,4.359834625185677,5.042196425182192,5.098743322016047,5.375396438002245,5.833245619386155,5.45193380708815,8.031927094065656,7.093681725629763,8.34844231429737,4.769040188089985,6.411737683061972,6.846037222755934,8.379960466205253,4.111853690588435,4.822294576586105,9.834015523416957,4.467387796676212,7.129145482794823,4.362522087154335,7.923572181126163,6.369727559816165,6.397245906129725,4.6755137871768895,6.7832452600441036,7.007968579511334,5.392921850723963,6.4498783722860145,5.269716912926257,5.8690630423113666,4.49475780569131,5.226659663744341,6.005210874369783,5.081390958587935,6.4468592950011,7.133661615791751,5.599855348764597,5.056242438310185,5.827490530778647,5.013127056406303,9.771570220666614,8.07578556642065,6.800649815764132,7.165490665851965,7.048582523706517,6.49290324828368,6.037075668969937,5.246005341020568,7.2744710231866,6.414961724221239
ACO08,7.217373625437943,7.473390220061496,9.157662428070942,7.662715954486644,8.325855904396331,6.766838504581079,5.680181482722487,0.0,6.497305573430377,5.93272087465857,9.589183471841675,8.184150619504598,8.073373846662799,7.949700597881077,9.230086850303605,7.146991101353181,6.15854344117495,7.82020196550229,11.482967765743322,9.220748884661134,8.784118059193515,9.505196563836757,8.194425798998015,9.292912706453217,7.114988951220126,12.106314927582272,6.316901369831358,7.301789516537034,8.630804612232996,7.117238331344123,7.608042306278405,6.179104163177282,6.193099757957346,7.16164525147216,7.4990230711100025,7.718243337802138,7.588500565796812,7.398741500800151,7.532212620312685,9.682727977298573,7.060524363607842,8.665580372602852,9.016858038721882,11.447092368046452,6.644434439784562,7.034293792665487,12.343510795475707,4.524651548683929,10.715981188132801,6.359158768921099,9.71467702078482,9.670435592092584,8.011736756310395,7.5877759378431895,9.620183250018266,9.723867696729549,8.74380405753631,10.574663526985342,6.087324327545433,5.657503952160456,6.078430743790417,7.8742718442378346,7.046406870460656,5.670891600232007,7.19772019145888,6.661053074598538,4.879579789359854,5.820631070486611,5.894629109680076,6.190574488521198,11.255494781579902,10.249311284925964,9.110364249363183,9.50459919431987,7.389108950377921,8.444202946174158,5.406593422226273,6.61144354340724,8.18767889014109,9.095672688046669
ACO09,8.002427756386568,4.59092836327324,7.420156760975164,6.784086910587926,5.4170579027251256,7.172202726811383,5.843412086116117,6.497305573430377,0.0,5.485258463688316,7.9631785002202475,6.580851894180397,4.6332037400502095,5.288920222441832,8.5402290033902,4.792777701229685,8.05269871928177,6.351398072664859,12.338567754237959,5.604685246090898,10.458957509558928,8.71188406330052,5.271468330239442,5.473449689545044,5.193349089392448,10.200134506150494,5.579577661175639,3.4759404121768553,9.254259856871121,4.180446411416481,4.680750424021548,5.816440789247723,4.5384071135018145,6.871635213625273,5.4151185929914565,5.087983405625722,7.4929305013562395,6.241847815438063,3.686295795347875,9.833387341615474,6.5955843241628065,4.891195082787529,6.021181236634544,10.857343251228839,6.120162477222184,4.878720108969714,11.66659462258403,5.159908266545815,9.248193169915833,5.060359532452371,5.929035787551977,6.301253716282688,7.349435379457517,5.069538347318561,6.05702373676128,7.391767099704102,7.504920244457465,9.343929083373666,5.156835491941797,4.7413059133391435,4.891717932168243,4.913705415446635,5.3421738061593995,6.236411428011811,5.365496282878434,6.841761618388342,4.861965140822737,5.1059170101582,6.708725721729179,4.759042119242507,13.620778500710468,11.39276029121573,6.136372377546471,7.6327581145485555,7.181302974633616,5.251073696743331,4.752656848539834,4.69058679324746,8.740092948779283,6.761398047638939
ACO10,7.859339487445125,5.755355081134485,7.499378648365857,7.797518848294585,5.231458804882465,6.014105687809919,6.407183161095102,5.93272087465857,5.485258463688316,0.0,8.624279250498931,6.199355036356342,5.862550860357706,5.427758694429647,9.299602429009742,5.292459538003586,8.140893244798601,6.100705612280412,13.261284029170316,7.297705592863889,9.933456760342018,8.557068554686222,6.034714865567895,7.55963426999174,6.743899746772289,10.575822930251336,4.922318995239453,5.378683720071122,9.37571649607674,4.740658595274377,5.932574553029005,5.908256004055956,5.803970999747562,7.361200756565189,5.951025607296408,6.502328570875589,8.267966823550243,7.050274363057844,5.741221691030633,9.204701323667452,6.5729478778854205,6.614586198730166,7.7550709977417505,11.234738660871393,6.17268537185633,5.532756777861553,11.706505987299222,4.372299434094506,9.870928966521506,5.537812573554297,7.736524248343576,7.453753034121054,7.179806857485373,6.794576390367598,6.720993328944714,8.803450534250816,7.950511500608002,10.258002976560055,4.421961884463887,4.566012093981333,6.004974216922524,7.204448429400155,5.144538616060047,5.265224288674346,5.658816377488866,7.128768001067467,3.1811439210030845,3.5920744337775177,7.173963970061752,5.74156209763845,12.983346262786853,11.770235517123096,6.050484095794123,8.657591555617847,7.6138743528380575,5.6209161262840635,5.021008506170015,4.814280582953968,8.849729339622714,6.762443095338303
