axis,metric,loading
1,entropy_norm,0.29425989068820774
1,effective_states,0.294179046736418
1,self_retention,-0.3061620620477424
1,transition_entropy_norm,0.312643042380315
1,detailed_balance_violation,0.3263580723890616
1,metastability_slem,0.0012497022260385257
1,free_energy_range,-0.14812728636176495
1,heat_capacity,-0.019418321612727406
1,triplet_irreversibility,0.3259778567740474
1,permutation_entropy,-0.13156439802222533
1,statistical_complexity,0.15768036859277776
1,hurst_pc1,-0.2223095686996229
1,time_asymmetry_tau1,0.15028268042750118
1,time_asymmetry_tau5,-0.019106516840203133
1,speed_mean,0.2951977267640455
1,speed_cv,0.06870613435142149
1,acceleration_mean,0.2841318963329914
1,turn_angle_mean,-0.16419396775400005
1,tortuosity,0.09528330365905328
1,rqa_recurrence_rate,0.05031193386351084
1,rqa_determinism,-0.041424845964985336
1,rqa_mean_diag,-0.01897708174027249
1,rqa_max_diag,0.04074940790512696
1,rqa_laminarity,-0.0899859976846607
1,rqa_trapping_time,-0.07411567967585639
1,topo_h1_count,-0.13652260402390742
1,topo_h1_sig_count,-0.04279119534487304
1,topo_h1_total,-0.09700419754753214
1,topo_h1_max,0.008883766506658113
1,topo_h1_entropy,-0.16524262702988482
2,entropy_norm,0.08982607079543765
2,effective_states,0.0908502080304595
2,self_retention,0.08102192102130976
2,transition_entropy_norm,-0.05740091253713005
2,detailed_balance_violation,-0.009654073147090755
2,metastability_slem,0.2521632271431938
2,free_energy_range,-0.02497985364260914
2,heat_capacity,-0.034780280628930266
2,triplet_irreversibility,0.005499047549968753
2,permutation_entropy,-0.025703611912608077
2,statistical_complexity,0.005019129392841783
2,hurst_pc1,0.12331315878632645
2,time_asymmetry_tau1,-0.07712263987825935
2,time_asymmetry_tau5,0.005241403992235549
2,speed_mean,-0.03918292806476754
2,speed_cv,0.20759331091889155
2,acceleration_mean,-0.04257056325080587
2,turn_angle_mean,-0.03805974304734534
2,tortuosity,-0.08149383985881954
2,rqa_recurrence_rate,0.3139220747518204
2,rqa_determinism,0.3574871700790149
2,rqa_mean_diag,0.32791464276552096
2,rqa_max_diag,0.3003954629385534
2,rqa_laminarity,0.33464087044225926
2,rqa_trapping_time,0.32475412429930306
2,topo_h1_count,-0.14783889246999454
2,topo_h1_sig_count,-0.20497872971552214
2,topo_h1_total,-0.28916739858991175
2,topo_h1_max,-0.14969562642859155
2,topo_h1_entropy,-0.142886222775217
3,entropy_norm,-0.0032350241930816045
3,effective_states,0.009703044661906586
3,self_retention,-0.1446116331399551
3,transition_entropy_norm,0.0652328058716621
3,detailed_balance_violation,0.007542210068561514
3,metastability_slem,-0.011571803841223397
3,free_energy_range,-0.11006960481727916
3,heat_capacity,-0.17140677327137255
3,triplet_irreversibility,-0.00997265958146285
3,permutation_entropy,0.47318226115279693
3,statistical_complexity,-0.4410425825723303
3,hurst_pc1,0.06956127016396303
3,time_asymmetry_tau1,-0.15921085222387343
3,time_asymmetry_tau5,-0.12805113655300132
3,speed_mean,0.09542415177135517
3,speed_cv,-0.24260229361752048
3,acceleration_mean,0.13274198692918296
3,turn_angle_mean,0.42189442653002324
3,tortuosity,0.08403002688823448
3,rqa_recurrence_rate,0.027668874013743832
3,rqa_determinism,-0.0004556407871166936
3,rqa_mean_diag,-0.004517729506885098
3,rqa_max_diag,0.002744645792317406
3,rqa_laminarity,0.01832335119395267
3,rqa_trapping_time,-0.0179597452348067
3,topo_h1_count,-0.27083931202388284
3,topo_h1_sig_count,0.040283182496927875
3,topo_h1_total,-0.10622033633588822
3,topo_h1_max,0.16893786828273977
3,topo_h1_entropy,-0.2846897443781725
4,entropy_norm,0.09985238907463204
4,effective_states,0.1611186994259689
4,self_retention,0.03181833776402082
4,transition_entropy_norm,-0.016578863850792516
4,detailed_balance_violation,-0.010027418253352129
4,metastability_slem,0.18742569266092796
4,free_energy_range,-0.30574455162891967
4,heat_capacity,-0.33089459985500674
4,triplet_irreversibility,0.004544759162962787
4,permutation_entropy,-0.1323347106201062
4,statistical_complexity,0.10190767925709913
4,hurst_pc1,0.2633713566414886
4,time_asymmetry_tau1,0.25265589420738616
4,time_asymmetry_tau5,0.2445546168056197
4,speed_mean,-0.14940903295424254
4,speed_cv,-0.10695878062691103
4,acceleration_mean,-0.1640523693975934
4,turn_angle_mean,-0.036452413116367995
4,tortuosity,-0.0913797880518234
4,rqa_recurrence_rate,-0.18153174967480645
4,rqa_determinism,0.027836116908641944
4,rqa_mean_diag,0.12516403208520452
4,rqa_max_diag,0.0707367925549965
4,rqa_laminarity,0.012558109024893844
4,rqa_trapping_time,0.1107016683163676
4,topo_h1_count,-0.05357335280426749
4,topo_h1_sig_count,0.37679035953616813
4,topo_h1_total,0.2084556686256804
4,topo_h1_max,0.39363428961671654
4,topo_h1_entropy,-0.15247679235036335
5,entropy_norm,-0.1285259941511024
5,effective_states,-0.12390869715196554
5,self_retention,-0.04838336288664153
5,transition_entropy_norm,-0.027502565391202584
5,detailed_balance_violation,0.015667281829686474
5,metastability_slem,-0.2977611028520421
5,free_energy_range,0.13305571776724542
5,heat_capacity,0.04086497385254194
5,triplet_irreversibility,-0.023035639069606085
5,permutation_entropy,0.028107194760410046
5,statistical_complexity,-0.007619432382882006
5,hurst_pc1,-0.09680715002649308
5,time_asymmetry_tau1,0.17927259157114914
5,time_asymmetry_tau5,0.1326124757305658
5,speed_mean,0.16361438645320242
5,speed_cv,0.005787926586692408
5,acceleration_mean,0.188844327537325
5,turn_angle_mean,0.10155705783373728
5,tortuosity,0.5248231255905109
5,rqa_recurrence_rate,0.18462134371830913
5,rqa_determinism,0.08290046086564647
5,rqa_mean_diag,0.2452465850929794
5,rqa_max_diag,0.3204261559647767
5,rqa_laminarity,0.058986418997039436
5,rqa_trapping_time,0.23919361467469832
5,topo_h1_count,0.2567708603358324
5,topo_h1_sig_count,0.21705795703727632
5,topo_h1_total,0.15309719810088335
5,topo_h1_max,0.18388762510285006
5,topo_h1_entropy,0.11527242009565665
