id,category,cluster_blind,axis1,axis2,axis3,axis4,axis5
ACO01,acoustic,7,-5.071519483160859,2.2450598677968316,-0.5798385759132563,-0.6126520408390811,0.39713382122981833
ACO02,acoustic,5,0.848006824191925,-1.1791013762422584,0.5626703837935219,-1.5082473197663395,-1.1996118583285478
ACO03,acoustic,0,-4.308908360061829,-3.005762669441347,-0.07047115485189377,0.6837840471222343,1.664420824643032
ACO04,acoustic,5,2.367272157553233,1.8509203950165676,0.17249379219318609,-0.06536938883877519,-0.44268967131661346
ACO05,acoustic,5,0.39604317357866653,-2.472447604751658,0.7873582370003248,-1.56373619270355,1.2531939307278412
ACO06,acoustic,2,-2.839459392671249,1.8444788032956583,-0.5947693116850418,-0.02791106123122391,-1.950644884289911
ACO07,acoustic,5,0.2640665820930331,1.782528162878234,-1.1815258013287289,0.27404964600160153,1.3805069694332006
ACO08,acoustic,3,-1.3007316316716968,0.39242735057089084,-5.168939627612122,0.9964986484328299,-0.21210652273093877
ACO09,acoustic,0,-1.0946634131251667,-2.750199618606598,-0.8439111077829495,0.1131768408511487,0.7187996501355497
ACO10,acoustic,3,-1.2740999728535096,-2.4569076948895825,-2.5354849631352643,-0.10255283574910322,-0.17931469224713736
AMB01,ambient,0,-3.7355546397996884,1.3786423104290686,2.9630765067896374,0.6028874872396182,0.30644684426659
AMB02,ambient,0,-2.8622593298937273,0.007714894335240948,0.8704073888667098,-2.0613170762073088,-1.2654809896090167
AMB03,ambient,0,-3.246334593751805,-3.5080833953748787,-0.45469638542274404,0.7773913129264733,1.9165102167297001
AMB04,ambient,0,-3.3801416049933857,-1.0868463824319199,1.4792577463121002,0.31396415103471564,-0.8088485226423537
AMB05,ambient,7,-5.56760457033748,2.9841191767906734,1.6867254784533938,0.0678298195202186,0.251348947563866
AMB06,ambient,0,-1.937514612850407,-1.2263589460070723,0.32362272814710513,-1.3321495368816023,-0.3080700755208861
AMB07,ambient,6,2.887273661493202,2.929610483810953,-2.6800325310279773,-0.3418110591199251,-1.2149352983308381
AMB08,ambient,0,-2.326178399522194,-0.08309682010053142,0.9778883580328654,0.8676261745062794,-2.216985517010948
AMB09,ambient,4,2.5088914449815314,7.8579166540965115,-0.00643758849933305,2.1030017474600573,4.217330905177452
AMB10,ambient,0,-3.9371075346426796,-2.932543829060863,2.403275843891196,-0.05977793296526392,-0.010820161142400617
CHP01,chiptune,2,0.6304512335631991,5.039024763968561,-1.0634519134379474,-2.9339302744050633,1.4027730941958805
CHP02,chiptune,2,2.6199390053213656,1.1387319592303384,0.3152107736922991,-1.4873601023169674,-1.0898624100797665
CHP03,chiptune,3,0.3663171891255007,-3.5686639000977007,0.2004608756461013,1.8238836799884464,2.1817444701546536
CHP04,chiptune,0,-2.5101074371445424,-1.9248485141845526,3.2854016902395022,1.1256913505416721,0.005352767581961837
CHP05,chiptune,5,0.6523511905601806,0.34035035833466665,0.5538854976398213,-0.1876073997640941,-1.3581985570063653
CHP06,chiptune,1,7.2728231972400925,-1.4220601280581902,2.3094342958231135,0.5766435191019096,-0.2951454333321282
CHP07,chiptune,5,0.35077497137485264,-1.7821361250334273,-2.257658519487314,-1.9774448019145658,0.5452914855930575
CHP08,chiptune,0,-1.6334424590425975,-3.514424237289964,-0.10374471276414045,0.1742783122461075,0.3797656948403997
CHP09,chiptune,2,-0.24172747051657456,3.7730951897946565,-0.21018658460222261,-2.6121440895281784,-1.8662687339372068
CHP10,chiptune,0,-1.7127718885830459,-3.0892226591608862,-0.2007977672098789,1.5384757949418773,-0.48684666553747624
CLA01,classical,0,-3.0608139174103366,-2.384844871261425,0.7380440937921289,2.381924655147565,-0.8723706685437284
CLA02,classical,2,-0.2044484105966769,1.6521744958423694,-0.7618225375346191,-1.6372002539573203,-0.992600383596311
CLA03,classical,2,-2.253480005778666,0.4385867760285655,0.17859740511961275,1.0652838872033465,-0.7352203024018327
CLA04,classical,2,-2.4562019043965484,3.201926189422615,0.14920785130331557,0.4763867249416982,-0.18675550810324257
CLA05,classical,2,-1.2135637259547498,0.298611484894991,1.1285830584226189,-0.8684500943513841,-0.7071923843806986
CLA06,classical,0,-1.6141076686767912,-0.8485483349127251,1.6236542923341855,0.9889257956672285,-1.42380572379095
CLA07,classical,2,0.11948410382259521,3.4481161846040376,0.4456011437532795,0.34114768420149044,-2.0078837129245923
CLA08,classical,0,-5.067740685438676,-2.2467107220667026,-0.9787721219246822,0.0910927793152641,1.0360101979615173
CLA09,classical,0,-2.310938391341378,-3.0989546032303608,-0.28028948602236153,-1.5379585115595757,-0.2329840986453629
CLA10,classical,6,6.242342707121862,-0.06654775228051528,-2.398919382093319,0.5450770525344287,-0.7806244877026844
FNK01,funk,5,1.1201052681522212,0.994372476514054,-0.4566635644095216,-2.100963059276778,-0.01241700557106044
FNK02,funk,5,1.7213900252420928,-2.345015803111789,0.7803240074988165,-1.9641357263208459,1.9681823348349263
FNK03,funk,5,1.0378250292332571,-1.4108692748014307,2.0588742391275496,1.0750733023239605,-0.050268737455783544
FNK04,funk,1,5.013320179325892,3.023439373419162,3.121838811627073,0.725911343565035,-0.826669908165169
