id,J1,J2,R1,R2,M1,M2,A1,A2,E1,E2,C1,C2
J1,0.0,19.971695890285076,16.86156404804877,14.287706812594122,15.144365168580793,14.880070031474157,15.644854758000802,17.895846497713308,16.551221756394654,15.209632935748491,15.7822875312278,18.69817636501165
J2,19.971695890285076,0.0,19.64760956265944,17.93203674702506,21.754343328989187,19.43969810863116,19.447396103103,20.105001652656014,20.43471071183901,20.550437119440964,19.764991260819315,22.943103540530732
R1,16.86156404804877,19.64760956265944,0.0,14.450540892305828,17.225650312634897,15.921352406508102,14.218924448565064,19.55249225084886,16.424196410033915,16.325536473714116,15.259166740577752,21.102558410110397
R2,14.287706812594122,17.93203674702506,14.450540892305828,0.0,13.280844229811741,13.107777404764738,11.647322380474005,17.438557614270735,14.59467410349254,13.497991457746481,12.939416814523435,18.80834556104983
M1,15.144365168580793,21.754343328989187,17.225650312634897,13.280844229811741,0.0,12.685965482880652,13.784882577164275,18.961642625779433,15.65799529778631,13.309950052484886,14.428051427632361,20.169805938354962
M2,14.880070031474157,19.43969810863116,15.921352406508102,13.107777404764738,12.685965482880652,0.0,11.885931934709133,17.386469383533417,13.993677804628614,12.89358690463732,13.932057207505103,20.148612236063904
A1,15.644854758000802,19.447396103103,14.218924448565064,11.647322380474005,13.784882577164275,11.885931934709133,0.0,18.31616947370614,13.569086779467352,14.11739642291877,11.855836847582726,19.34229677443831
A2,17.895846497713308,20.105001652656014,19.55249225084886,17.438557614270735,18.961642625779433,17.386469383533417,18.31616947370614,0.0,19.288666321842516,18.622239139870036,18.965950924553198,21.94672190572199
E1,16.551221756394654,20.43471071183901,16.424196410033915,14.59467410349254,15.65799529778631,13.993677804628614,13.569086779467352,19.288666321842516,0.0,15.002289696586098,15.42654827472989,19.943256782226733
E2,15.209632935748491,20.550437119440964,16.325536473714116,13.497991457746481,13.309950052484886,12.89358690463732,14.11739642291877,18.622239139870036,15.002289696586098,0.0,13.295076305346171,20.783022906962035
C1,15.7822875312278,19.764991260819315,15.259166740577752,12.939416814523435,14.428051427632361,13.932057207505103,11.855836847582726,18.965950924553198,15.42654827472989,13.295076305346171,0.0,19.176710019860437
C2,18.69817636501165,22.943103540530732,21.102558410110397,18.80834556104983,20.169805938354962,20.148612236063904,19.34229677443831,21.94672190572199,19.943256782226733,20.783022906962035,19.176710019860437,0.0
