id,title,entropy_norm,effective_states,self_retention,transition_entropy_norm,irreversibility,metastability_slem,free_energy_range,heat_capacity,speed_mean,speed_cv,acceleration_mean,turn_angle_mean,tortuosity,phase_jump_count,topology_beta0_mean,topology_cycle_rank_mean
J1,HoliznaCC0 - 1 (jazz),0.6809405236199241,5.430730391217521,0.7310934407207699,0.3586040617407086,0.07310650012513367,0.8333333333333334,5.61312810574642,0.7874621189226061,1.3220625090913933,1.108257728542659,1.896336351113861,1.429583327679904,32.35520248636668,4,6.8,782.6
J2,John Bartmann - Robot Gypsy Jazz,0.7739485770165998,6.84275183388172,0.3748194424382493,0.6226457282484572,0.2241080456449516,0.5565710943062877,3.7669972332206108,0.4948740196064237,2.617748187627971,0.6563734576683544,3.927460194204732,1.5871090863098962,154.1823419810723,5,11.0,704.2
R1,Loyalty Freak Music - Ghost Surf Rock,0.6615745634786276,5.175578043386364,0.567632850241546,0.46481013232330964,0.14341455645803472,0.732843657120453,4.828313736982877,0.6427171927339597,1.5484776426278903,0.713556969534803,2.416794890276615,1.6732917984631046,986.4832307819141,3,1.6,1461.6
R2,John Bartmann - Secret Agent Rock,0.685686953152669,5.495162004364495,0.58790586088134,0.4266544443633422,0.054568602631656415,0.9122397156715284,5.35658627403105,0.5043212007171234,1.4254573992933428,0.9923496360947316,2.2167470123718513,1.651398039581698,29.980335557692847,3,3.8,1311.4
M1,Loyalty Freak Music - HYPRA METAL,0.1573970779062614,1.4786315705253656,0.9425465838509316,0.06976171697530971,0.004658385093167704,0.9983993125192123,6.383506634241093,1.0941121383822159,0.8489440702087271,1.3580687910496139,1.3973894817626646,1.9073772660898236,18.086833732829326,20,2.4,3162.0
M2,File Under Toner - speedmetal machine music,0.1568586855800333,1.4766546990493346,0.818163013139459,0.14550557182439333,0.0017127632580563154,0.5,5.641907070617256,0.5067739413145123,1.3527480717143792,0.6460414581774341,2.0699453334825573,1.6520810968481499,185.5113089929377,23,1.8,3232.8
A1,h92o - ambient sky noises 1,0.36836001578050526,2.4976249310426493,0.8361204013377926,0.20278456794676714,0.007166746297181093,0.7704092071170356,3.274445675978752,0.48045870464457907,0.6824532460113375,0.7855668401965449,1.0322777405342012,1.6680160391720207,102.00330806287774,6,1.6,1931.0
A2,Ambient Bongos,0.6575532780453412,5.124118515239082,0.600187629399586,0.42710292600104,0.16323757763975155,0.7518880337973199,4.7492705296426365,0.5697639143837823,2.4537478175040413,0.8723830996754804,3.6155584848123343,1.3882836359767885,259.94975974565614,5,10.2,361.0
E1,Monplaisir - Dance of the electronic fairies,0.29167343740323415,2.0642795186855416,0.7803082585691282,0.22164747266662066,0.013285024154589365,0.7400028662010052,4.13115853526561,0.946984642060074,1.754422298553276,0.5321563069927738,2.6346649335763748,1.6208928760561732,361.4348903478753,8,3.8,1112.8
E2,Komiku - Action Techno,0.29423390907390534,2.0774554370712615,0.8237882109365485,0.16740147619201898,0.008479478748020953,0.8333333333333334,5.1219778812182435,1.100829521790096,1.407953435464188,0.5790116953692795,2.486893235030286,2.404249373767702,157.84984721738599,4,3.0,2931.2
C1,Bach - Orchestral Suite No. 3,0.5832756482351522,4.26049579349566,0.7449704080138863,0.29299024710543914,0.015648200430809125,0.989010989010989,5.697093485863565,0.7434626785114158,0.7764771213707888,0.6283412626097051,1.1806723343783208,1.75831268059701,86.3771769190772,8,3.8,1782.4
C2,Beethoven - Pastoral Sonata III Scherzo,0.6261039776783008,4.738923203260458,0.7093138767794451,0.359731279786489,0.06377551020408162,0.8888888888888888,5.77765232258065,1.066262315774992,1.3652492325987011,1.3171738656006995,1.998054745274033,1.5709803950553713,138.94549305495238,3,10.4,963.8
