id,control,rep,metric,original,control_value,delta
J1,shuffle,0,self_retention,0.7310934407207699,0.242432355250946,0.4886610854698239
J1,shuffle,0,transition_entropy_norm,0.3586040617407086,0.6597002118452683,-0.3010961501045597
J1,shuffle,0,irreversibility,0.07310650012513367,0.10939173270507602,-0.036285232579942345
J1,shuffle,0,metastability_slem,0.8333333333333334,0.11070877809909604,0.7226245552342373
J1,shuffle,0,phase_jump_count,4,8,-4
J1,shuffle,1,self_retention,0.7310934407207699,0.25021666907410084,0.48087677164666903
J1,shuffle,1,transition_entropy_norm,0.3586040617407086,0.6587753199719546,-0.300171258231246
J1,shuffle,1,irreversibility,0.07310650012513367,0.09110934565939621,-0.01800284553426254
J1,shuffle,1,metastability_slem,0.8333333333333334,0.1286213408937036,0.7047119924396298
J1,shuffle,1,phase_jump_count,4,8,-4
J1,shuffle,2,self_retention,0.7310934407207699,0.24600141059768393,0.48509203012308594
J1,shuffle,2,transition_entropy_norm,0.3586040617407086,0.6590394758200029,-0.3004354140792943
J1,shuffle,2,irreversibility,0.07310650012513367,0.1319818897458649,-0.05887538962073122
J1,shuffle,2,metastability_slem,0.8333333333333334,0.08799847983258023,0.7453348535007531
J1,shuffle,2,phase_jump_count,4,3,1
J1,shuffle,3,self_retention,0.7310934407207699,0.24911268855368235,0.4819807521670875
J1,shuffle,3,transition_entropy_norm,0.3586040617407086,0.6545615532997046,-0.295957491558996
J1,shuffle,3,irreversibility,0.07310650012513367,0.12280731690669579,-0.049700816781562115
J1,shuffle,3,metastability_slem,0.8333333333333334,0.15008696338747401,0.6832463699458593
J1,shuffle,3,phase_jump_count,4,8,-4
J1,shuffle,4,self_retention,0.7310934407207699,0.2164471139626419,0.5146463267581279
J1,shuffle,4,transition_entropy_norm,0.3586040617407086,0.6568999144517501,-0.29829585271104153
J1,shuffle,4,irreversibility,0.07310650012513367,0.10574932314062749,-0.032642823015493816
J1,shuffle,4,metastability_slem,0.8333333333333334,0.12628008196368254,0.7070532513696508
J1,shuffle,4,phase_jump_count,4,3,1
J1,shuffle,5,self_retention,0.7310934407207699,0.24557633973710818,0.4855171009836617
J1,shuffle,5,transition_entropy_norm,0.3586040617407086,0.6595542172482929,-0.3009501555075843
J1,shuffle,5,irreversibility,0.07310650012513367,0.09546078289758778,-0.022354282772454104
J1,shuffle,5,metastability_slem,0.8333333333333334,0.1300799054372664,0.7032534278960669
J1,shuffle,5,phase_jump_count,4,3,1
J1,shuffle,6,self_retention,0.7310934407207699,0.254943956593132,0.47614948412763786
J1,shuffle,6,transition_entropy_norm,0.3586040617407086,0.662477589608664,-0.3038735278679554
J1,shuffle,6,irreversibility,0.07310650012513367,0.07953166274005855,-0.006425162614924873
J1,shuffle,6,metastability_slem,0.8333333333333334,0.134737239512007,0.6985960938213264
J1,shuffle,6,phase_jump_count,4,0,4
